BST_Sorted_Insert	
1703500	9
	
1824334	10
	
2265167	11
	
2389000	12
	
2550042	13
	
2990292	14
	
3111250	15
	
3254250	16
	
3382042	17
	
3548375	18
	
3712917	19
	
3873209	20
	
4002417	21
	
4201625	22
	
4651167	23
	
4809375	24
	
5005292	25
	
5186167	26
	
5346000	27
	
6131125	28
	
6310084	29
	
6446292	30
	
7343500	31
	
7499417	32
	
7659250	33
	
7997625	34
	
8182125	35
	
8306292	36
	
8441709	37
	
8556667	38
	
8668459	39
	
8794209	40
	
10014084	41
	
10150500	42
	
10278917	43
	
10484917	44
	
10707792	45
	
10932209	46
	
11195334	47
	
11367500	48
	
11501834	49
	
11663084	50
	
11829667	51
	
11960584	52
	
12141834	53
	
12303209	54
	
12434542	55
	
12631917	56
	
12787792	57
	
12908875	58
	
13039750	59
	
13903084	60
	
14076417	61
	
14320750	62
	
14442375	63
	
14590959	64
	
14702334	65
	
14832334	66
	
14995167	67
	
15103209	68
	
15240209	69
	
15381792	70
	
15499459	71
	
15653750	72
	
15796667	73
	
16075792	74
	
16177375	75
	
16283000	76
	
16379959	77
	
16525709	78
	
16673042	79
	
16861459	80
	
17030459	81
	
17160875	82
	
17315959	83
	
17469667	84
	
17612459	85
	
17725209	86
	
17836667	87
	
17941292	88
	
18053750	89
	
18212917	90
	
18386250	91
	
18541500	92
	
18653209	93
	
18764334	94
	
18884167	95
	
19006042	96
	
19112750	97
	
21410125	98
	
21693834	99
	
21837000	100
	
AVL_Shuffled_Search	
	
5625	1
	
656375	2
	
759709	3
	
845417	4
	
937000	5
	
1042042	6
	
1155459	7
	
1240625	8
	
1340917	9
	
1489084	10
	
1576000	11
	
1727875	12
	
1819959	13
	
1931792	14
	
2005667	15
	
2101417	16
	
2182375	17
	
2270459	18
	
2350792	19
	
2420084	20
	
2494209	21
	
2575292	22
	
2675500	23
	
2759334	24
	
2825459	25
	
2890417	26
	
2961625	27
	
3050167	28
	
3121792	29
	
3206000	30
	
3280709	31
	
3378042	32
	
3445709	33
	
3627875	34
	
3757792	35
	
3860250	36
	
3935750	37
	
4014709	38
	
4170125	39
	
4366209	40
	
4454625	41
	
4593959	42
	
4685417	43
	
5079125	44
	
5277542	45
	
5432334	46
	
5520542	47
	
5613625	48
	
5695125	49
	
5814209	50
	
6021750	51
	
6124667	52
	
6242667	53
	
6329417	54
	
6418584	55
	
6516584	56
	
6627625	57
	
6732084	58
	
6911334	59
	
7031709	60
	
7125375	61
	
7235042	62
	
7337167	63
	
7466584	64
	
7614917	65
	
7704334	66
	
7822667	67
	
7900417	68
	
7984542	69
	
8057959	70
	
8144459	71
	
8273625	72
	
8434209	73
	
8527334	74
	
8617667	75
	
8768292	76
	
8939000	77
	
9028459	78
	
9172750	79
	
9253500	80
	
9322417	81
	
9390625	82
	
9466459	83
	
9539292	84
	
9613042	85
	
9704042	86
	
9775625	87
	
9870084	88
	
9930417	89
	
10001625	90
	
10075542	91
	
10155000	92
	
10218792	93
	
10278584	94
	
10345542	95
	
10410292	96
	
10488000	97
	
10550417	98
	
10606875	99
	
10665250	100
